Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,AIAN,Asian,Black,Highly.Rural,Hispanic,Men,Missing,Mood.Anxiety,Multirace,NHOPI,No.Mental.Health,Other.Mental.Health,Other.Rural,PTSD,Serious.Mental.Illness,Substance.Abuse,Unknown,Urban,White,Women,X18.44,X45.64,X65.,X65.74,X75.84,X85.
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,6-11 encounters,2495,2452,85693,NA,32324,NA,NA,NA,3135,3378,NA,NA,NA,NA,NA,NA,7329,NA,280735,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,12+ encounters,632,531,20185,NA,7156,NA,NA,NA,755,818,NA,NA,NA,NA,NA,NA,1079,NA,74856,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,0 encounters,20591,34473,578075,NA,198684,NA,NA,NA,22050,24368,NA,NA,NA,NA,NA,NA,164871,NA,3183822,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,1 encounter,2379,3235,66231,NA,23591,NA,NA,NA,2452,2310,NA,NA,NA,NA,NA,NA,14302,NA,210445,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,2 encounters,1500,1771,41306,NA,15142,NA,NA,NA,1740,1698,NA,NA,NA,NA,NA,NA,6212,NA,147623,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,3-5 encounters,2571,2815,72702,NA,28698,NA,NA,NA,3190,3026,NA,NA,NA,NA,NA,NA,9548,NA,259820,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,6-11 encounters,1745,1770,48853,NA,18789,NA,NA,NA,2178,1914,NA,NA,NA,NA,NA,NA,6163,NA,159123,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,12+ encounters,2107,1892,66158,NA,18383,NA,NA,NA,2506,1987,NA,NA,NA,NA,NA,NA,5250,NA,162012,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,0 encounters,24878,39703,623920,NA,233980,NA,NA,NA,26380,29572,NA,NA,NA,NA,NA,NA,180045,NA,3464510,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,1 encounter,3395,4003,132238,NA,38006,NA,NA,NA,4177,3366,NA,NA,NA,NA,NA,NA,17784,NA,377672,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,2 encounters,1276,1262,55420,NA,15402,NA,NA,NA,1743,1219,NA,NA,NA,NA,NA,NA,5140,NA,141201,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,3-5 encounters,1021,844,48213,NA,12306,NA,NA,NA,1416,934,NA,NA,NA,NA,NA,NA,2946,NA,111579,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,6-11 encounters,281,126,11726,NA,3105,NA,NA,NA,359,187,NA,NA,NA,NA,NA,NA,398,NA,24394,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,12+ encounters,42,18,1808,NA,488,NA,NA,NA,41,25,NA,NA,NA,NA,NA,NA,33,NA,3489,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,0 encounters,12548,24140,332476,NA,120126,NA,NA,NA,12285,14617,NA,NA,NA,NA,NA,NA,121247,NA,1800660,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,1 encounter,5978,8990,169897,NA,63213,NA,NA,NA,6591,6815,NA,NA,NA,NA,NA,NA,36777,NA,780439,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,2 encounters,3380,4676,102905,NA,37231,NA,NA,NA,4001,3968,NA,NA,NA,NA,NA,NA,17382,NA,436586,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,3-5 encounters,4739,5156,145081,NA,48613,NA,NA,NA,5788,5265,NA,NA,NA,NA,NA,NA,20052,NA,585378,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,6-11 encounters,2688,2191,81105,NA,23760,NA,NA,NA,3451,2937,NA,NA,NA,NA,NA,NA,7932,NA,327750,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,12+ encounters,1560,803,41861,NA,10344,NA,NA,NA,2000,1701,NA,NA,NA,NA,NA,NA,2956,NA,192032,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,0 encounters,23231,36555,722680,NA,243153,NA,NA,NA,26640,26397,NA,NA,NA,NA,NA,NA,172654,NA,3403729,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,1 encounter,1112,1953,26460,NA,14563,NA,NA,NA,1124,1301,NA,NA,NA,NA,NA,NA,8038,NA,115393,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,2 encounters,1314,1277,22208,NA,8889,NA,NA,NA,1048,1127,NA,NA,NA,NA,NA,NA,5987,NA,104269,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,3-5 encounters,1489,1920,27454,NA,10058,NA,NA,NA,1315,1592,NA,NA,NA,NA,NA,NA,7559,NA,136868,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,6-11 encounters,1179,1451,20585,NA,7791,NA,NA,NA,1205,1387,NA,NA,NA,NA,NA,NA,4866,NA,104639,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,12+ encounters,2568,2800,53938,NA,18833,NA,NA,NA,2784,3499,NA,NA,NA,NA,NA,NA,7242,NA,257947,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,INFECTIOUS DISEASE,6739,6949,251948,NA,74440,NA,NA,NA,8882,7794,NA,NA,NA,NA,NA,NA,28443,NA,815999,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,ENDOCRINE/METABOLIC/NUTRITIONAL,18232,23845,521972,NA,190176,NA,NA,NA,21201,23194,NA,NA,NA,NA,NA,NA,92282,NA,2704895,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,CARDIOVASCULAR ,16506,21127,541674,NA,157458,NA,NA,NA,19704,21339,NA,NA,NA,NA,NA,NA,77850,NA,2568688,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,RESPIRATORY,8393,10525,246206,NA,76632,NA,NA,NA,10453,9811,NA,NA,NA,NA,NA,NA,37754,NA,1150372,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,GASTROINTESTINAL,10208,11671,306689,NA,106842,NA,NA,NA,12347,11924,NA,NA,NA,NA,NA,NA,49379,NA,1451082,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,URINARY,4434,5620,165858,NA,48228,NA,NA,NA,5854,6209,NA,NA,NA,NA,NA,NA,14604,NA,676123,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,REPRODUCTIVE HEALTH,6378,8488,255989,NA,71697,NA,NA,NA,8651,8280,NA,NA,NA,NA,NA,NA,28816,NA,997634,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,BREAST,270,237,10999,NA,2451,NA,NA,NA,384,317,NA,NA,NA,NA,NA,NA,1524,NA,26934,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,CANCER,2375,2319,84709,NA,22660,NA,NA,NA,3110,3237,NA,NA,NA,NA,NA,NA,6956,NA,450593,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,HEMATOLOGIC/IMMUNOLOGIC,2903,2788,114679,NA,29719,NA,NA,NA,3845,3758,NA,NA,NA,NA,NA,NA,9193,NA,422156,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,MUSCULOSKELETAL,16876,21968,494105,NA,162677,NA,NA,NA,19560,19429,NA,NA,NA,NA,NA,NA,86193,NA,1993208,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,NEUROLOGIC,7789,9386,219767,NA,77234,NA,NA,NA,9290,8966,NA,NA,NA,NA,NA,NA,28690,NA,1012306,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,MENTAL HEALTH/SUD,13116,12930,348717,NA,125111,NA,NA,NA,14743,13581,NA,NA,NA,NA,NA,NA,51212,NA,1299722,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,SENSE ORGAN,12629,19089,351480,NA,128070,NA,NA,NA,14516,15543,NA,NA,NA,NA,NA,NA,55160,NA,1808700,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,DENTAL,3060,4361,103389,NA,32020,NA,NA,NA,4050,4185,NA,NA,NA,NA,NA,NA,7984,NA,304442,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,DERMATOLOGIC,6158,7707,175869,NA,60872,NA,NA,NA,7957,7594,NA,NA,NA,NA,NA,NA,28089,NA,940762,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,OTHER,15848,18472,474540,NA,149200,NA,NA,NA,18526,17398,NA,NA,NA,NA,NA,NA,76631,NA,1872490,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,HIV/AIDS ,114,106,13037,NA,1888,NA,NA,NA,262,154,NA,NA,NA,NA,NA,NA,535,NA,10306,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Tuberculosis,66,213,2256,NA,497,NA,NA,NA,65,61,NA,NA,NA,NA,NA,NA,143,NA,3584,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Mycoses,1584,1580,76945,NA,23065,NA,NA,NA,2497,2263,NA,NA,NA,NA,NA,NA,5570,NA,235000,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Infections - Other,1186,1269,31192,NA,12026,NA,NA,NA,1347,1275,NA,NA,NA,NA,NA,NA,4297,NA,145878,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Diabetes Mellitus,8072,10145,228677,NA,80848,NA,NA,NA,8511,9996,NA,NA,NA,NA,NA,NA,25891,NA,973284,NA,NA,NA,NA,NA,NA,NA
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Lipid Disorders,12279,17187,343192,NA,132597,NA,NA,NA,15027,17130,NA,NA,NA,NA,NA,NA,64160,NA,2071003,NA,NA,NA,NA,NA,NA,NA
