Vulnerable_population,Section,Long_title,Short_title,Group,Group1,Subgroup,var,count
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,3-5 encounters,AIAN,5265
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,6-11 encounters,AIAN,6908
Race/Ethnicity,B. VHA Outpatient Utilization,"B1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by VHA Outpatient Visits, FY13 ",Race/Ethnicity by VHA Outpatient Visits,Encounters,Outpatient Visits,12+ encounters,AIAN,14034
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,0 encounters,AIAN,4815
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,1 encounter,AIAN,8804
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,2 encounters,AIAN,6225
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,3-5 encounters,AIAN,7922
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,6-11 encounters,AIAN,2495
Race/Ethnicity,B. VHA Outpatient Utilization,"B2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Primary Care Visits, FY13 ",Race/Ethnicity by Primary Care Visits,Encounters,Primary Care Visits,12+ encounters,AIAN,632
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,0 encounters,AIAN,20591
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,1 encounter,AIAN,2379
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,2 encounters,AIAN,1500
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,3-5 encounters,AIAN,2571
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,6-11 encounters,AIAN,1745
Race/Ethnicity,B. VHA Outpatient Utilization,"B3. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Mental Health/Substance Use Disorder Visits, FY13 ",Race/Ethnicity by Mental Health/Substance Use Disorder Visits,Encounters,Mental Health/Substance use Disorder Visits,12+ encounters,AIAN,2107
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,0 encounters,AIAN,24878
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,1 encounter,AIAN,3395
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,2 encounters,AIAN,1276
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,3-5 encounters,AIAN,1021
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,6-11 encounters,AIAN,281
Race/Ethnicity,B. VHA Outpatient Utilization,"B4. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Emergency Department Visits, FY13 ",Race/Ethnicity by Emergency Department Visits,Encounters,Emergency Department Visits,12+ encounters,AIAN,42
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,0 encounters,AIAN,12548
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,1 encounter,AIAN,5978
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,2 encounters,AIAN,3380
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,3-5 encounters,AIAN,4739
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,6-11 encounters,AIAN,2688
Race/Ethnicity,B. VHA Outpatient Utilization,"B5. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients byTelephone Visits, FY13 ",Race/Ethnicity by Telephone Visits,Encounters,Telephone Visits,12+ encounters,AIAN,1560
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,0 encounters,AIAN,23231
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,1 encounter,AIAN,1112
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,2 encounters,AIAN,1314
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,3-5 encounters,AIAN,1489
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,6-11 encounters,AIAN,1179
Race/Ethnicity,B. VHA Outpatient Utilization,"B6. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Fee Outpatient Visits, FY13 ",Race/Ethnicity by Fee Outpatient Services,Encounters,Fee Outpatient Services,12+ encounters,AIAN,2568
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,INFECTIOUS DISEASE,AIAN,6739
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,ENDOCRINE/METABOLIC/NUTRITIONAL,AIAN,18232
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,CARDIOVASCULAR ,AIAN,16506
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,RESPIRATORY,AIAN,8393
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,GASTROINTESTINAL,AIAN,10208
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,URINARY,AIAN,4434
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,REPRODUCTIVE HEALTH,AIAN,6378
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,BREAST,AIAN,270
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,CANCER,AIAN,2375
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,HEMATOLOGIC/IMMUNOLOGIC,AIAN,2903
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,MUSCULOSKELETAL,AIAN,16876
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,NEUROLOGIC,AIAN,7789
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,MENTAL HEALTH/SUD,AIAN,13116
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,SENSE ORGAN,AIAN,12629
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,DENTAL,AIAN,3060
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,DERMATOLOGIC,AIAN,6158
Race/Ethnicity,C. Diagnoses,"C1. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Domain, FY13 ",Race/Ethnicity by Domains,Domains,NA,OTHER,AIAN,15848
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,HIV/AIDS ,AIAN,114
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Tuberculosis,AIAN,66
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Mycoses,AIAN,1584
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,INFECTIOUS DISEASE,Infections - Other,AIAN,1186
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Diabetes Mellitus,AIAN,8072
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Lipid Disorders,AIAN,12279
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL, Overweight/Obesity,AIAN,4778
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Thyroid Disorders ,AIAN,1928
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Osteoporosis,AIAN,242
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Vitamin D Deficiency,AIAN,1348
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,"Endocrine, Metabolic and Nutritional Disorders - Other",AIAN,3546
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,ENDOCRINE/METABOLIC/NUTRITIONAL,Fluid and Electrolyte Disorders,AIAN,1305
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Hypertension,AIAN,13569
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Chest Pain/Angina,AIAN,1727
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Acute MI,AIAN,206
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Coronary Artery Disease,AIAN,3974
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Heart Failure,AIAN,1301
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Valvular Disease,AIAN,632
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Atrial Fibrillation/Flutter,AIAN,1105
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Arrhythmia/Conduction Disorder - Other ,AIAN,1459
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Cardiac Conditions - Other,AIAN,330
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Cerebrovascular Accident/TIA ,AIAN,1005
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Cerebrovascular Disease - Other ,AIAN,547
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Pecondition Aortic Aneurysm ,AIAN,278
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Pulmonary Embolism or Deep Vein Thrombosis,AIAN,355
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Vascular Disease - Other ,AIAN,1425
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,CARDIOVASCULAR ,Circulatory System Conditions - Other ,AIAN,1136
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Chronic Obstructive Pulmonary Disease,AIAN,2602
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Asthma ,AIAN,1103
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Sarcoidosis,AIAN,30
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Pneumonia ,AIAN,569
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Respiratory System Infections - Other ,AIAN,2250
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Allergic and other chronic sinusitis/rhinitis ,AIAN,2302
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,"Dyspnea, cough and other respiratory symptoms ",AIAN,2066
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,RESPIRATORY,Respiratory Conditions - Other ,AIAN,1536
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Esophageal disorders ,AIAN,4921
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Nausea and vomiting ,AIAN,481
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastroduodenal ulcer ,AIAN,257
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastric/Duodenal Disorders - Other ,AIAN,649
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal hemorrhage ,AIAN,657
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,"Polyp, colorectal ",AIAN,1604
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Diverticulosis and diverticulitis ,AIAN,696
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Inflammatory Bowel Disease ,AIAN,155
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Diarrhea/constipation and functional bowel disorders ,AIAN,1452
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Hernia ,AIAN,771
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Hemorrhoids ,AIAN,748
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Hepatitis C ,AIAN,829
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Liver disease - Other,AIAN,1338
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Biliary tract disease ,AIAN,289
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Pancreatic disorders,AIAN,176
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,GASTROINTESTINAL,Gastrointestinal System Disorders - Other ,AIAN,1558
Race/Ethnicity,C. Diagnoses,"C2. Distribution of Race/Ethnicity among FY13 Veteran VHA Patients by Condition, FY13 ",Race/Ethnicity by Conditions,Conditions,URINARY,Renal failure or Nephropathy ,AIAN,1777
